	0.5	2	4	6	8	10	12	14	16	20	200
2	1	1	1	1	1	1	1	1	1	1	1
4	0.96	0.96	0.95	0.93	0.92	0.9	0.89	0.87	0.86	0.84	0.84
6	0.93	0.93	0.9	0.88	0.85	0.83	0.81	0.79	0.78	0.75	0.75
8	0.9	0.9	0.86	0.83	0.8	0.77	0.75	0.73	0.71	0.67	0.67
10	0.88	0.88	0.83	0.79	0.75	0.72	0.69	0.67	0.64	0.61	0.61
12	0.85	0.85	0.79	0.75	0.7	0.67	0.64	0.61	0.59	0.55	0.55
14	0.82	0.82	0.76	0.71	0.66	0.62	0.59	0.56	0.53	0.5	0.5
16	0.79	0.79	0.73	0.67	0.62	0.57	0.54	0.51	0.48	0.45	0.45
18	0.77	0.77	0.7	0.63	0.57	0.53	0.49	0.46	0.43	0.4	0.4
20	0.75	0.75	0.67	0.59	0.53	0.48	0.44	0.41	0.39	0.36	0.36
